Time,SatelliteIndices
2025-03-06 15:00:00,"6,14,22,88,96"
2025-03-06 15:01:00,"6,14,22,88,96"
2025-03-06 15:02:00,"5,6,14,22,88,96"
2025-03-06 15:03:00,"5,6,14,22,88,96"
2025-03-06 15:04:00,"5,6,13,14,22,88,96"
2025-03-06 15:05:00,"5,6,13,14,88,96"
2025-03-06 15:06:00,"5,6,13,88,96"
2025-03-06 15:07:00,"5,13,88,96"
2025-03-06 15:08:00,"5,13,21,96"
2025-03-06 15:09:00,"5,13,21,95,96"
2025-03-06 15:10:00,"5,13,21,95,96"
2025-03-06 15:11:00,"5,13,21,87,95,96"
2025-03-06 15:12:00,"5,13,21,87,95"
2025-03-06 15:13:00,"5,13,21,87,95"
2025-03-06 15:14:00,"5,13,21,87,95"
2025-03-06 15:15:00,"5,13,21,87,95"
2025-03-06 15:16:00,"4,5,13,21,87,95"
2025-03-06 15:17:00,"4,5,12,13,21,87,95"
2025-03-06 15:18:00,"4,5,12,13,21,87,95"
2025-03-06 15:19:00,"4,5,12,13,87,95"
2025-03-06 15:20:00,"4,5,12,20,95"
2025-03-06 15:21:00,"4,12,20,95"
2025-03-06 15:22:00,"4,12,20,95"
2025-03-06 15:23:00,"4,12,20,94,95"
2025-03-06 15:24:00,"4,12,20,94,95"
2025-03-06 15:25:00,"4,12,20,94"
2025-03-06 15:26:00,"4,12,20,94"
2025-03-06 15:27:00,"4,12,20,86,94"
2025-03-06 15:28:00,"4,12,20,86,94"
2025-03-06 15:29:00,"3,4,12,20,86,94"
2025-03-06 15:30:00,"3,4,11,12,20,86,94"
