,count,mean,std,min,25%,50%,75%,max
LEO20_Sydney_RSSI_dBm,6.0,-153.79880080654667,3.501766030008618,-157.701223611149,-156.4715092288475,-153.919955710721,-152.205638566286,-148.295443220325
LEO20_Melbourne_RSSI_dBm,11.0,-142.836109061682,6.2781005792930635,-151.459256742217,-148.70025157415552,-140.273177316423,-137.99199158652402,-134.92269157668
LEO21_Sydney_RSSI_dBm,18.0,-147.18438926599597,6.619190599637206,-156.854605641261,-152.5310629161845,-150.3284836018775,-140.97189260903275,-137.625635994588
LEO21_Melbourne_RSSI_dBm,20.0,-141.37151680668265,8.13291506320667,-153.239013838115,-148.94671863854623,-141.980550067612,-133.4801601067585,-129.573835637826
LEO22_Sydney_RSSI_dBm,19.0,-143.10491435188192,8.825317396624463,-156.392023653407,-151.92421944551148,-142.586159122731,-135.133974603725,-131.267903940994
LEO22_Melbourne_RSSI_dBm,21.0,-138.8942775257638,9.535863988580607,-153.986177810672,-147.420229945917,-136.454788344205,-129.802409659686,-127.442422080749
LEO23_Sydney_RSSI_dBm,21.0,-140.17054521932374,10.91160045787114,-155.708542847032,-151.7326430686,-138.23285045839,-129.750910421182,-125.463061967342
LEO23_Melbourne_RSSI_dBm,21.0,-136.94715889655362,9.870814121605711,-153.26872521148,-145.6806050657,-134.446237237453,-129.156380411769,-123.662092189978
LEO24_Sydney_RSSI_dBm,8.0,-143.47593591930087,10.430862829450984,-156.757050523311,-150.870261650523,-145.1489502385625,-134.44840608787825,-129.809117070872
LEO24_Melbourne_RSSI_dBm,5.0,-146.8780243007956,5.8535392326174485,-151.400317916488,-151.264142842172,-150.657470773685,-141.672386872217,-139.395803099416
LEO31_Sydney_RSSI_dBm,4.0,-145.52315053566875,8.121456120248661,-152.716380259072,-151.34778468458052,-147.258235181857,-141.43360103294526,-134.859751519889
LEO31_Melbourne_RSSI_dBm,8.0,-138.67257205109374,11.26858992605961,-152.448845456453,-147.69208870098325,-139.0601630023755,-131.00812245242875,-121.556845971912
LEO32_Sydney_RSSI_dBm,21.0,-127.10803405006978,13.235772619355044,-154.054128011566,-128.87438895553,-124.421787962172,-118.511978908121,-110.554142733011
LEO32_Melbourne_RSSI_dBm,24.0,-127.45802005147827,14.766837344972368,-151.756912931344,-141.05863694608576,-124.2767360642745,-116.01164183233925,-108.541788369752
LEO33_Sydney_RSSI_dBm,25.0,-130.4356274693837,14.080245272017748,-157.055707143295,-140.465883631433,-123.997248853577,-122.038766505988,-112.088480760542
