,count,mean,std,min,25%,50%,75%,max
LEO20_Sydney_SNR_dB,6.0,-39.15927865346353,3.8007091260006383,-43.170380245723,-41.8778067138033,-39.38388398384445,-38.089212154102874,-32.6507545393907
LEO20_Melbourne_SNR_dB,11.0,-25.816536101548742,8.369178952953826,-37.0156270993034,-34.195194910805995,-22.1672353743382,-19.211824793158,-15.5635878605151
LEO21_Sydney_SNR_dB,18.0,-31.06354372713473,8.467076432166161,-42.1686529818998,-38.03866679345355,-35.48354588188435,-23.207051311947076,-18.1201007922409
LEO21_Melbourne_SNR_dB,20.0,-24.08407840235506,10.375482048575249,-37.9960273484243,-34.3387137173194,-24.17596663336495,-13.660340548009223,-9.7585673744734
LEO22_Sydney_SNR_dB,19.0,-25.763856102343578,11.462884373801785,-41.4488892844008,-37.756653089943,-24.9490641661777,-15.31909968469305,-10.7056366817527
LEO22_Melbourne_SNR_dB,21.0,-20.849743623375893,12.283502258425246,-39.4822949593914,-33.0307980010154,-18.1378821460916,-8.83579711596515,-6.03361053894234
LEO23_Sydney_SNR_dB,21.0,-22.04917214276038,14.192557663053488,-41.5724159305021,-37.1948328008924,-19.7538344763309,-7.8758643224531,-3.19270656953276
LEO23_Melbourne_SNR_dB,21.0,-18.158735408645445,12.781058878642868,-38.2827012042753,-30.1504363131676,-15.4661299763001,-7.13512898712078,-1.38154459322793
LEO24_Sydney_SNR_dB,8.0,-26.382885229101703,13.723716138682466,-43.1644408607626,-36.97664494526373,-28.6534097612582,-14.758704230845199,-7.8182681353929
LEO24_Melbourne_SNR_dB,5.0,-31.2083123337194,7.325372041769264,-37.010885971587,-36.2781188349672,-35.9175593632657,-25.8362735654359,-20.9987239333412
LEO31_Sydney_SNR_dB,4.0,-29.722821108183922,10.610174903129252,-38.5737387621436,-37.4663918056189,-32.38221053853225,-24.638639841097277,-15.5531245935276
LEO31_Melbourne_SNR_dB,8.0,-20.37566660061082,14.707786466100634,-37.5871841990852,-33.41147484689333,-20.65068993174905,-9.888932398107938,1.472045007009
LEO32_Sydney_SNR_dB,21.0,-5.731523648300133,16.445686242522747,-39.4848556600729,-6.69035011022019,-1.23389240264081,5.75416441586736,12.8706423690038
LEO32_Melbourne_SNR_dB,24.0,-6.208343557110499,18.58381643344739,-36.5139264416535,-23.189887638766574,-1.1823982388083836,9.064484789988375,17.2229124628732
LEO33_Sydney_SNR_dB,25.0,-10.205035633138682,17.604843424774717,-43.0578338248452,-22.8836249137801,-2.39188076119088,-0.287153127045741,10.6909417212604
LEO33_Melbourne_SNR_dB,25.0,-8.357236789547056,19.411744802878257,-38.5002496521598,-25.0007632429762,-4.15181454926193,6.807912564787,17.2724655180136
LEO34_Sydney_SNR_dB,25.0,-10.759180264548114,17.627221718735967,-41.2397039736359,-24.0921273920311,-1.49410554437938,2.57603906334275,8.20996176175079
LEO34_Melbourne_SNR_dB,26.0,-10.181393842144036,18.52627626442332,-37.5661325949174,-27.2068891615088,-5.03461001866891,6.665238961724012,14.6108382758308
LEO35_Sydney_SNR_dB,15.0,-8.030937598798449,16.022670663788155,-39.6801906763974,-11.71037530084121,-3.42606153766074,2.10835475344565,7.35912432399445
